Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
ED10566-ND,ON SHORE TECHNOLOGY INC,OSTVN08A150,OSTVN08A150,2,0,0,CONN TERM BLOCK 2.54MM 8POS PCB,,RoHS Compliant,Lead free,Unaffected Aug-2011
ED10568-ND,ON SHORE TECHNOLOGY INC,OSTVN12A150,OSTVN12A150,6,0,0,CONN TERM BLOCK 2.54MM 12POS PCB,,RoHS Compliant,Lead free,Unaffected Aug-2011
RMCF0805ZT0R00CT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805ZT0R00,R-US_R0805,1,0,0,RES 0.0 OHM 1/8W 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
445-1316-1-ND,TDK CORPORATION (VA),C1608X7R1E104K080AA,C-USC0603K,13,0,0,CAP CER 0.1UF 25V 10% X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
RR12P1.37KDCT-ND,SUSUMU (VA),RR1220P-1371-D-M,R-US_R0805,2,0,0,RES 1.37K OHM 1/10W .5% 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
PCE4533CT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),EEE-FP1C101AP,CPOL-USD,4,0,0,CAP ALUM 100UF 16V 20% SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
445-7660-1-ND,TDK CORPORATION (VA),C2012X5R1A106K125AB,C-USC1206K,2,0,0,CAP CER 10UF 10V 10% X5R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
445-5659-1-ND,TDK CORPORATION (VA),CGA3E2X7R1H102K080AA,C-USC0603K,48,0,0,CAP CER 1000PF 50V 10% X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
587-1242-1-ND,TAIYO YUDEN (VA),LMK107B7105KA-T,C-USC0603K,5,0,0,CAP CER 1UF 10V 10% X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Nov-2009
RMCF0603JT20R0CT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0603JT20R0,R-US_R0603,16,0,0,RES TF 20 OHM 5% 0.1W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
445-5092-1-ND,TDK CORPORATION (VA),C1608X7R1H223M080AA,C-USC0603K,16,0,0,CAP CER 0.022UF 50V 20% X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
RMCF0603JT300RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0603JT300R,R-US_R0603,48,0,0,RES TF 300 OHM 5% 0.1W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
RMCF0603JT390RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0603JT390R,R-US_R0603,23,0,0,RES 390 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
RMCF0603JT4K70CT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0603JT4K70,R-US_R0603,10,0,0,RES 4.7K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
399-1075-1-ND,KEMET (VA),C0603C471K5RACTU,C-USC0603K,1,0,0,CAP CER 470PF 50V 10% X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2011
296-14863-1-ND,TEXAS INSTRUMENTS (VA),SN74HCT138DR,74HCT138D,2,0,0,IC 3-8LINE DECODER/DEMUX 16-SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
RMCF0603JT750RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0603JT750R,R-US_R0603,16,0,0,RES 750 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
DPBT8105DICT-ND,DIODES INC (VA),DPBT8105-7,DPBT8105,16,0,0,TRANS PNP BIPO 300MW SOT23-3,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
ED2992CT-ND,ON SHORE TECHNOLOGY INC (VA),USB-M26FTR,MINI-USB-32005-201,1,0,0,CONN USB MINI B R/A SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
887-1081-1-ND,TXC CORPORATION (VA),7A-12.000MAAJ-T,CRY5032,1,0,0,CRYSTAL 12.000 MHZ 18PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free by exemption,Unaffected Nov-2011
NCP1117ST50T3GOSCT-ND,ON SEMICONDUCTOR (VA),NCP1117ST50T3G,NCP1117,1,0,0,IC REG LDO 5V 1A SOT-223,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
CP-102A-ND,CUI INC,PJ-102A,DCJ0303,1,0,0,CONN JACK POWER 2.1MM PCB,,RoHS Compliant,Lead free,Unaffected Oct-2010
RB521S30T1GOSCT-ND,ON SEMICONDUCTOR (VA),RB521S30T1G,DIODE-SOD523,64,0,0,DIODE SCHOTTKY 30V 200MA SOD523,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
296-16707-1-ND,TEXAS INSTRUMENTS (VA),SN74LV4052ADR,SN74LV4052AD,2,0,0,IC MULTIPLEXER DUAL 4X1 16SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
TC1015-3.3VCT713CT-ND,MICROCHIP TECHNOLOGY (VA),TC1015-3.3VCT713,TC1015,1,0,0,IC REG LDO 3.3V .1A SOT23-5,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
